Episode 6250	Average Score: 136.166	Min Score: 20.086	Max Score: 257.256
Episode 6300	Average Score: 138.632	Min Score: 18.216	Max Score: 445.243
Episode 6350	Average Score: 160.762	Min Score: 0.096	Max Score: 705.996
Episode 6400	Average Score: 155.892	Min Score: 16.127	Max Score: 417.052
Episode 6450	Average Score: 152.236	Min Score: 24.380	Max Score: 630.271
Episode 6500	Average Score: 168.258	Min Score: 1.816	Max Score: 753.725
Episode 6550	Average Score: 154.797	Min Score: 11.139	Max Score: 555.325
Episode 6600	Average Score: 130.021	Min Score: 27.797	Max Score: 447.988
Episode 6650	Average Score: 118.070	Min Score: 21.682	Max Score: 392.679
Episode 6700	Average Score: 106.112	Min Score: 20.564	Max Score: 320.500
Episode 6750	Average Score: 97.405	Min Score: 18.704	Max Score: 375.689
Episode 6800	Average Score: 107.169	Min Score: 21.290	Max Score: 288.434
Episode 6850	Average Score: 106.575	Min Score: 20.782	Max Score: 274.080
Episode 6900	Average Score: 98.108	Min Score: 29.145	Max Score: 308.515
Episode 6950	Average Score: 118.644	Min Score: 27.581	Max Score: 575.723
Episode 7000	Average Score: 131.280	Min Score: 30.633	Max Score: 463.418
Episode 7050	Average Score: 123.742	Min Score: 16.843	Max Score: 306.959
Episode 7100	Average Score: 132.603	Min Score: 20.336	Max Score: 404.277
Episode 7150	Average Score: 162.111	Min Score: 17.718	Max Score: 731.344
Episode 7200	Average Score: 185.412	Min Score: 23.661	Max Score: 489.842
Episode 7250	Average Score: 202.618	Min Score: 19.024	Max Score: 722.386
Episode 7300	Average Score: 201.880	Min Score: 0.068	Max Score: 730.240
Episode 7350	Average Score: 166.244	Min Score: 14.051	Max Score: 474.331
Episode 7400	Average Score: 167.090	Min Score: 29.010	Max Score: 641.350
Episode 7450	Average Score: 181.230	Min Score: 37.949	Max Score: 494.583
Episode 7500	Average Score: 159.315	Min Score: 16.953	Max Score: 438.611
Episode 7550	Average Score: 148.282	Min Score: 17.950	Max Score: 413.719
Episode 7600	Average Score: 155.937	Min Score: 50.464	Max Score: 537.051
Episode 7650	Average Score: 153.602	Min Score: 22.337	Max Score: 498.723
Episode 7700	Average Score: 160.048	Min Score: 27.292	Max Score: 528.224
Episode 7750	Average Score: 164.978	Min Score: 26.407	Max Score: 588.011
Episode 7800	Average Score: 172.583	Min Score: 20.917	Max Score: 913.408
Episode 7850	Average Score: 216.201	Min Score: 25.177	Max Score: 1000.030
Episode 7900	Average Score: 189.551	Min Score: 19.653	Max Score: 400.257
Episode 7950	Average Score: 152.940	Min Score: 14.744	Max Score: 777.472
Episode 8000	Average Score: 153.457	Min Score: 30.343	Max Score: 700.804
Episode 8050	Average Score: 134.800	Min Score: 18.634	Max Score: 463.911
Episode 8100	Average Score: 130.750	Min Score: 25.261	Max Score: 330.736
Episode 8150	Average Score: 145.513	Min Score: 32.174	Max Score: 508.431
Episode 8200	Average Score: 176.633	Min Score: 41.398	Max Score: 545.007
Episode 8250	Average Score: 155.418	Min Score: 23.350	Max Score: 273.014
Episode 8300	Average Score: 134.945	Min Score: 19.994	Max Score: 459.627
Episode 8350	Average Score: 143.058	Min Score: 41.109	Max Score: 370.555
Episode 8400	Average Score: 136.565	Min Score: 24.027	Max Score: 466.637
Episode 8450	Average Score: 138.067	Min Score: 22.703	Max Score: 688.330
Episode 8500	Average Score: 141.576	Min Score: 36.411	Max Score: 409.954
Episode 8550	Average Score: 153.772	Min Score: 16.300	Max Score: 371.728
Episode 8600	Average Score: 163.119	Min Score: 27.258	Max Score: 632.750
Episode 8650	Average Score: 147.198	Min Score: 16.210	Max Score: 469.792
Episode 8700	Average Score: 131.453	Min Score: 0.111	Max Score: 351.302
Episode 8750	Average Score: 133.720	Min Score: 0.100	Max Score: 567.944
Episode 8800	Average Score: 147.905	Min Score: 29.710	Max Score: 473.466
Episode 8850	Average Score: 169.765	Min Score: 23.694	Max Score: 521.769
Episode 8900	Average Score: 183.032	Min Score: 22.714	Max Score: 751.529
Episode 8950	Average Score: 191.473	Min Score: 29.340	Max Score: 787.157
Episode 9000	Average Score: 209.399	Min Score: 16.211	Max Score: 642.066
Episode 9050	Average Score: 193.555	Min Score: 32.102	Max Score: 504.508
Episode 9100	Average Score: 163.010	Min Score: 25.981	Max Score: 626.740
Episode 9150	Average Score: 153.275	Min Score: 46.424	Max Score: 348.085
Episode 9200	Average Score: 142.607	Min Score: 32.082	Max Score: 400.751
Episode 9250	Average Score: 133.423	Min Score: 41.714	Max Score: 276.602
Episode 9300	Average Score: 137.834	Min Score: 37.986	Max Score: 417.046
Episode 9350	Average Score: 169.136	Min Score: 0.133	Max Score: 587.065
Episode 9400	Average Score: 184.608	Min Score: 24.076	Max Score: 759.534
Episode 9450	Average Score: 175.479	Min Score: 20.667	Max Score: 489.171
Episode 9500	Average Score: 173.048	Min Score: 25.950	Max Score: 548.913
Episode 9550	Average Score: 179.730	Min Score: 29.521	Max Score: 646.007
Episode 9600	Average Score: 193.835	Min Score: 21.166	Max Score: 695.183
Episode 9650	Average Score: 231.406	Min Score: 28.747	Max Score: 842.203
Episode 9700	Average Score: 226.429	Min Score: 18.709	Max Score: 775.043
Episode 9750	Average Score: 187.366	Min Score: 41.146	Max Score: 1005.357
Episode 9800	Average Score: 196.166	Min Score: 29.401	Max Score: 1081.952
Episode 9850	Average Score: 196.646	Min Score: 14.121	Max Score: 489.790
Episode 9900	Average Score: 184.538	Min Score: 22.640	Max Score: 567.865
Episode 9950	Average Score: 184.599	Min Score: 35.375	Max Score: 620.820
