agent.LR=5e-4
agent.GRADIENT_CLIP=5
agent.EPOCHS=8
agent.BATCH_SIZE=64
agent.GAMMA=0.99
agent.GAE_TAU=0.95
agent.CLIP_EPSILON=0.2
agent.C1 = 0.5
agent.C2 = 1
scores = train(agent, n_episodes=100000, max_t=1010, train_mode=True)

Episode 5650	Average Score: 82.238	Min Score: 14.094	Max Score: 459.040
Episode 5700	Average Score: 92.814	Min Score: 12.455	Max Score: 356.651
Episode 5750	Average Score: 97.791	Min Score: 7.971	Max Score: 236.228
Episode 5800	Average Score: 86.927	Min Score: 15.139	Max Score: 449.153
Episode 5850	Average Score: 93.715	Min Score: 14.972	Max Score: 318.419
Episode 5900	Average Score: 85.636	Min Score: 11.334	Max Score: 181.878
Episode 5950	Average Score: 72.303	Min Score: 12.865	Max Score: 301.790
Episode 6000	Average Score: 71.677	Min Score: 8.073	Max Score: 219.240
Episode 6050	Average Score: 87.559	Min Score: 13.472	Max Score: 472.845
Episode 6100	Average Score: 101.284	Min Score: 15.391	Max Score: 317.202
Episode 6150	Average Score: 98.709	Min Score: 14.248	Max Score: 477.482
Episode 6200	Average Score: 96.162	Min Score: 12.871	Max Score: 244.481
Episode 6250	Average Score: 91.738	Min Score: 16.600	Max Score: 267.323
Episode 6300	Average Score: 99.104	Min Score: 8.177	Max Score: 401.071
Episode 6350	Average Score: 104.033	Min Score: 18.110	Max Score: 307.570
Episode 6400	Average Score: 98.884	Min Score: 14.882	Max Score: 239.791
Episode 6450	Average Score: 116.320	Min Score: 13.272	Max Score: 465.890
Episode 6500	Average Score: 133.721	Min Score: 9.464	Max Score: 685.853
Episode 6550	Average Score: 125.994	Min Score: 17.230	Max Score: 693.167
Episode 6600	Average Score: 134.000	Min Score: 19.021	Max Score: 477.993
Episode 6650	Average Score: 127.354	Min Score: 12.669	Max Score: 533.072
Episode 6700	Average Score: 100.654	Min Score: 13.195	Max Score: 265.956
Episode 6750	Average Score: 123.632	Min Score: 22.073	Max Score: 593.014
Episode 6800	Average Score: 139.441	Min Score: 18.913	Max Score: 354.000
Episode 6850	Average Score: 137.783	Min Score: 19.357	Max Score: 638.014
Episode 6900	Average Score: 143.334	Min Score: 17.577	Max Score: 475.803
Episode 6950	Average Score: 143.284	Min Score: 17.171	Max Score: 493.159
Episode 7000	Average Score: 127.689	Min Score: 10.579	Max Score: 294.633
Episode 7050	Average Score: 128.438	Min Score: 23.662	Max Score: 458.953
Episode 7100	Average Score: 154.267	Min Score: 18.403	Max Score: 642.071
Episode 7150	Average Score: 158.944	Min Score: 15.890	Max Score: 448.386
Episode 7200	Average Score: 164.885	Min Score: 15.984	Max Score: 495.021
Episode 7250	Average Score: 158.402	Min Score: 16.433	Max Score: 413.438
Episode 7300	Average Score: 156.069	Min Score: 15.119	Max Score: 525.926
Episode 7350	Average Score: 158.959	Min Score: 12.310	Max Score: 461.461
Episode 7400	Average Score: 185.732	Min Score: 18.889	Max Score: 796.132
Episode 7450	Average Score: 214.085	Min Score: 23.384	Max Score: 789.277
Episode 7500	Average Score: 246.236	Min Score: 29.948	Max Score: 898.058
Episode 7550	Average Score: 251.352	Min Score: 18.726	Max Score: 947.413
Episode 7600	Average Score: 186.637	Min Score: 13.917	Max Score: 438.256
Episode 7650	Average Score: 194.216	Min Score: 14.028	Max Score: 860.977
Episode 7700	Average Score: 239.728	Min Score: 23.868	Max Score: 867.366
Episode 7750	Average Score: 230.207	Min Score: 16.033	Max Score: 935.307
Episode 7800	Average Score: 211.330	Min Score: 12.066	Max Score: 687.520
Episode 7850	Average Score: 214.771	Min Score: 21.225	Max Score: 795.720
Episode 7900	Average Score: 275.481	Min Score: 34.825	Max Score: 948.898
Episode 7950	Average Score: 344.451	Min Score: 21.792	Max Score: 1000.666
Episode 8000	Average Score: 352.269	Min Score: 19.498	Max Score: 960.495
Episode 8050	Average Score: 316.778	Min Score: 15.339	Max Score: 902.403
Episode 8100	Average Score: 297.772	Min Score: 18.284	Max Score: 965.141
Episode 8150	Average Score: 279.370	Min Score: 25.897	Max Score: 948.862
Episode 8200	Average Score: 275.363	Min Score: 10.272	Max Score: 851.293
Episode 8250	Average Score: 285.108	Min Score: 13.655	Max Score: 904.810
Episode 8300	Average Score: 318.431	Min Score: 26.867	Max Score: 1022.735
Episode 8350	Average Score: 345.802	Min Score: 13.222	Max Score: 1001.580
Episode 8400	Average Score: 327.632	Min Score: 24.397	Max Score: 974.464
Episode 8450	Average Score: 366.359	Min Score: 17.288	Max Score: 1028.233
Episode 8500	Average Score: 414.855	Min Score: 22.612	Max Score: 1073.902
Episode 8550	Average Score: 436.104	Min Score: 29.144	Max Score: 1132.822
Episode 8600	Average Score: 471.332	Min Score: 26.552	Max Score: 1099.931
Episode 8650	Average Score: 458.016	Min Score: 18.891	Max Score: 1061.162
Episode 8700	Average Score: 421.294	Min Score: 18.813	Max Score: 1115.258
Episode 8750	Average Score: 463.441	Min Score: 31.232	Max Score: 1134.403
Episode 8800	Average Score: 488.713	Min Score: 31.988	Max Score: 1101.821
Episode 8850	Average Score: 477.720	Min Score: 19.170	Max Score: 1129.613
Episode 8900	Average Score: 472.415	Min Score: 12.717	Max Score: 1112.193
Episode 8950	Average Score: 470.779	Min Score: 21.778	Max Score: 1143.286
Episode 9000	Average Score: 523.620	Min Score: 54.745	Max Score: 1159.994
Episode 9050	Average Score: 540.469	Min Score: 49.119	Max Score: 1114.329
Episode 9100	Average Score: 497.209	Min Score: 22.922	Max Score: 1160.104
Episode 9150	Average Score: 512.853	Min Score: 28.445	Max Score: 1153.485
Episode 9200	Average Score: 600.993	Min Score: 39.943	Max Score: 1176.891
Episode 9250	Average Score: 658.456	Min Score: 27.878	Max Score: 1184.176
Episode 9300	Average Score: 626.889	Min Score: 12.255	Max Score: 1199.881
Episode 9350	Average Score: 602.718	Min Score: 45.791	Max Score: 1215.943
Episode 9400	Average Score: 630.272	Min Score: 29.633	Max Score: 1202.015
Episode 9450	Average Score: 632.069	Min Score: 78.574	Max Score: 1203.803
Episode 9500	Average Score: 572.894	Min Score: 25.671	Max Score: 1228.793
Episode 9550	Average Score: 619.917	Min Score: 86.883	Max Score: 1242.692
Episode 9600	Average Score: 707.916	Min Score: 55.443	Max Score: 1209.006
